date,close_price,miners_revenue,difficulty,hash_rate,median_confirmation_time,avg_block_size,n_unique_addresses,n_transactions_per_block,n_transactions,cost_per_transaction_percent
2023-07-01,30471.5,26154914.732571002,50646206431058.0,334845664.7949681,9.3,1.6567550676691738,622117.0,2438.1503759398497,324274.0,0.8324979823192378
2023-07-02,30591.53,33775253.848481484,50646206431058.0,430515854.7363876,6.95,1.816713397660819,534333.0,1812.3976608187133,309920.0,1.7354297727524437
2023-07-03,30618.25,27990140.909918316,50646206431058.0,344916211.10459125,12.633333333333333,1.78020302189781,655439.0,2394.992700729927,328114.0,0.7866755431507992
2023-07-04,31150.92,28640397.54593083,50646206431058.0,357504393.99162006,11.308333333333334,1.7253826056338029,645583.0,2665.887323943662,378556.0,0.9280306730212705
2023-07-05,30774.87,30309671.13015693,50646206431058.0,390233669.4978951,9.183333333333334,1.6932442774193548,716586.0,3183.7290322580643,493478.0,0.9937216512358493
2023-07-06,30502.55,27125275.64271407,50646206431058.0,349951484.25940275,9.566666666666666,1.6520735179856114,709055.0,2825.093525179856,392688.0,0.5417839237055284
2023-07-07,29918.04,34013005.20105904,50646206431058.0,440586401.04601073,7.75,1.7994490114285704,773326.0,3177.2228571428573,556014.0,1.101500272079974
2023-07-08,30344.53,34114021.652351,50646206431058.0,448139310.7782279,9.741666666666667,1.7515152528089892,695972.0,3223.016853932584,573697.0,1.9712890971354249
2023-07-09,30214.55,33188679.628863256,50646206431058.0,425480581.581576,10.416666666666666,1.763557147928994,732590.0,3516.360946745562,594265.0,1.9334006419956167
2023-07-10,30214.55,29651100.59188326,50646206431058.0,387716032.92048943,8.133333333333333,1.6637028506493508,679425.0,3292.9545454545455,507115.0,0.8306988630700183
2023-07-11,30411.71,26664260.808558695,50646206431058.0,339880937.9497796,9.583333333333334,1.714983807407407,686922.0,3202.17037037037,432293.0,0.8346619466680297
2023-07-12,30622.7,28532856.624235082,53503052179805.375,382989765.58074266,10.683333333333334,1.7033098472222223,752660.0,3321.6666666666665,478320.0,0.7339787800551026
2023-07-13,30391.64,23641573.302443318,53911173001055.0,321592673.51184636,11.95,1.601404933333334,678891.0,3132.1583333333333,375859.0,0.4282040424229364
2023-07-14,31485.37,27519041.337585144,53911173001055.0,369831574.5386234,10.316666666666666,1.602543224637681,760021.0,3055.550724637681,421666.0,
