Kode,Nama Kolom,Satuan,x_min (data latih),x_max (data latih),Rentang (x_max - x_min)
Y / X1,close_price,USD,25162.7,123359.45,98196.75
X2,miners_revenue,USD,19271798.243833877,107755899.72006708,88484101.47623321
X3,difficulty,tanpa satuan,50646206431058.0,138473205347661.56,87826998916603.56
X4,hash_rate,TH/s,300153161.94439,1149638389.1434891,849485227.1990991
X5,median_confirmation_time,menit,0.0583333333333333,18.041666666666664,17.98333333333333
X6,avg_block_size,MB,1.065115192546584,2.2927066058394168,1.2275914132928327
X7,n_unique_addresses,alamat,358420.0,1017545.0,659125.0
X8,n_transactions_per_block,transaksi/blok,1430.216374269006,5517.916666666667,4087.7002923976606
X9,n_transactions,transaksi,242440.0,927010.0,684570.0
X10,cost_per_transaction_percent,%,0.1186643185902371,5.826059784533574,5.707395465943337
