No,Arsitektur,Neuron,Epoch,RMSE Validasi (USD),MAPE Validasi (%),Waktu Latih (detik),Waktu per Epoch (detik),Jumlah Parameter,Keterangan
1,LSTM,10,100,8259.716595606566,7.3945643494485225,15.457305873999985,0.15457305873999985,851,
2,LSTM,10,500,5469.146662978929,4.819835210396409,71.77969295399998,0.14355938590799996,851,
3,LSTM,10,1000,3414.5717855479115,2.7871580674603216,144.31394837800008,0.14431394837800007,851,
4,LSTM,20,100,3609.182267964317,2.7861718572334393,17.012422529000105,0.17012422529000104,2501,
5,LSTM,20,500,3465.3884851948483,2.850487422515137,75.6070725059999,0.15121414501199978,2501,
6,LSTM,20,1000,2822.35417329008,2.2752847081052416,148.92185433900022,0.1489218543390002,2501,
7,LSTM,30,100,4224.849069808819,3.4181435052399345,15.707291545000317,0.15707291545000315,4951,
8,LSTM,30,500,3369.8099082156336,2.7565039443576365,75.13455342299994,0.1502691068459999,4951,
9,LSTM,30,1000,2918.2102403227295,2.3672786412856377,149.09806873300022,0.14909806873300022,4951,
10,LSTM,40,100,3804.0296154498656,3.0128265671494874,16.139686750000237,0.16139686750000237,8201,
11,LSTM,40,500,2503.9943007481074,1.9024860203908294,79.56232019599975,0.1591246403919995,8201,<<< TERBAIK (RMSE validasi terkecil)
12,LSTM,40,1000,2718.2012026260486,2.130108430925327,154.19191035199992,0.15419191035199992,8201,
13,LSTM,50,100,5737.573767644129,4.9720777988037375,17.72137000299972,0.1772137000299972,12251,
14,LSTM,50,500,4270.987173365596,3.634662783691574,81.1901188060001,0.1623802376120002,12251,
15,LSTM,50,1000,3546.031651001554,2.7296459268148574,155.37213910299988,0.15537213910299988,12251,
