No,Arsitektur,Neuron,Epoch,RMSE Validasi (USD),MAPE Validasi (%),Waktu Latih (detik),Waktu per Epoch (detik),Jumlah Parameter,Keterangan
1,GRU,10,100,8899.658219702671,7.940313803776057,17.031934147000356,0.17031934147000358,671,
2,GRU,10,500,3515.1483205575155,2.797007866528347,79.06562707100011,0.15813125414200022,671,
3,GRU,10,1000,2643.547065799688,2.042586701352382,158.0103299110001,0.15801032991100009,671,
4,GRU,20,100,3944.1056848123285,3.0961677754286288,17.840119724000033,0.17840119724000034,1941,
5,GRU,20,500,2709.45486298342,2.0723431906257486,81.11143801099979,0.16222287602199958,1941,
6,GRU,20,1000,3027.8222586793495,2.332429893243875,161.08214704600005,0.16108214704600005,1941,
7,GRU,30,100,4157.693516448305,3.281196258008131,18.142612242999803,0.18142612242999803,3811,
8,GRU,30,500,2564.886887259432,1.9797292535906514,83.04600583499996,0.16609201166999993,3811,<<< TERBAIK (RMSE validasi terkecil)
9,GRU,30,1000,4602.293441362287,3.9443332470211074,164.06728244800024,0.16406728244800023,3811,
10,GRU,40,100,3693.8778470692114,2.9362360734029465,18.54659536700001,0.1854659536700001,6281,
11,GRU,40,500,3000.1888615139637,2.3656085335601187,81.76266566999993,0.16352533133999986,6281,
12,GRU,40,1000,3327.182713193582,2.627875606011886,164.71404429600034,0.16471404429600034,6281,
13,GRU,50,100,7911.044765835723,7.195980945109542,18.367169119999744,0.18367169119999743,9351,
14,GRU,50,500,2907.126179661352,2.309361999001109,86.45495442599986,0.17290990885199972,9351,
15,GRU,50,1000,2680.6779656523995,2.0891050955328407,167.44254229099988,0.1674425422909999,9351,
