Arsitektur,Seed,Neuron,Epoch,RMSE Uji (USD),MAE Uji (USD),MAPE Uji (%),Akurasi Arah (%),Waktu Latih (detik)
LSTM,42,40,500,2045.5108089125574,1525.7363267282794,2.106134441958283,49.11504424778761,78.907693741
LSTM,7,40,500,5943.133996948651,5632.592700395831,7.832051873395759,48.23008849557522,77.30324119700072
LSTM,21,40,500,3863.4315619604085,3422.2309114240034,4.750039895224821,48.23008849557522,77.04857904900018
LSTM,100,40,500,3550.754900312439,3082.9308670282817,4.267230629789168,48.23008849557522,77.85989454199989
LSTM,2024,40,500,2949.8474390340148,2463.336791580196,3.415452936657014,48.23008849557522,75.287126962
GRU,42,30,500,2009.6545350265378,1468.236575816222,2.0475839192702825,51.32743362831859,83.58946835000006
GRU,7,30,500,2032.6346897909186,1527.4276185081196,2.1210125607719106,44.690265486725664,82.48223941599917
GRU,21,30,500,2597.919124769122,2005.7160015742136,2.738419369045983,47.34513274336283,81.93985414100007
GRU,100,30,500,5709.49309403394,5418.619835915818,7.580041247719753,48.23008849557522,82.0299386910001
GRU,2024,30,500,4269.234291132725,3841.301991071847,5.4450080603577975,48.23008849557522,81.20699594899997
GRU (rata-rata +/- std),—,—,—,3323.7871469506485,,3.9864130314331456,47.9646017699115,82.24969930939987
LSTM (rata-rata +/- std),—,—,—,3670.535741433614,,4.474181955405009,48.40707964601769,77.28130709820016
