Tanggal,Aktual (USD),Prediksi LSTM (USD),Prediksi GRU (USD),Galat LSTM (USD),Galat GRU (USD),APE LSTM (%),APE GRU (%)
2025-12-18,86132.81967724561,88235.09389634132,88762.91584933996,-2102.274219095707,-2630.096172094345,2.440735397927628,3.0535354374206776
2025-12-19,85458.35125016868,86359.85686461329,87246.4607858628,-901.5056144446135,-1788.1095356941223,1.0549063973930037,2.092375419764014
2025-12-20,88098.8189070791,85962.64421391189,87038.0536414802,2136.1746931672096,1060.7652655988932,2.42474839012349,1.204062981500035
2025-12-21,88337.40988170802,87684.05316215455,88649.40310863852,653.3567195534706,-311.9932269304991,0.7396149835368456,0.3531835802615075
2025-12-22,88615.71919491589,87909.54516216814,88845.88187488615,706.1740327477455,-230.16267997026443,0.7968947712250364,0.2597312102878802
2025-12-23,88485.36742384433,89063.35528900921,89024.9889893651,-577.987865164876,-539.6215655207634,0.6532016332105148,0.6098427132431734
2025-12-24,87424.67239403426,88657.69093171954,89213.57793533504,-1233.018537685275,-1788.9055413007736,1.4103782192375873,2.046225044159097
2025-12-25,87607.77709549367,87807.24088276624,88453.70864203274,-199.46378727257252,-845.9315465390682,0.2276781741136455,0.9655895567547517
2025-12-26,87223.6575664252,87123.62424419522,88606.79924973547,100.03332222998142,-1383.1416833102703,0.11468599806629413,1.5857414397658551
2025-12-27,87300.33748887181,87025.42875843942,87554.0233051151,274.90873043239117,-253.6858162432909,0.3148999629783033,0.29058973142644295
2025-12-28,87790.37258748412,86974.55463540256,87780.00695565045,815.8179520815611,10.365631833672523,0.9292795189684258,0.011807253492793929
2025-12-29,87835.11863794625,86671.71547294855,87542.6158424139,1163.4031649976969,292.5027955323458,1.3245307606325556,0.3330134917196772
2025-12-30,87123.05065191984,87631.68652860522,88128.2652615428,-508.63587668538094,-1005.2146096229553,0.5838132077324966,1.1537872033878378
2025-12-31,88423.54237073362,86895.00675157904,88200.58471210003,1528.5356191545725,222.95765863358974,1.7286523228688093,0.2521473949763227
2026-01-01,87493.87220497131,89517.42381076216,89129.1896350652,-2023.5516057908535,-1635.3174300938845,2.3127923759623905,1.8690651000824805
2026-01-02,88734.99712328314,86628.33316738605,87581.54988135099,2106.663955897093,1153.4472419321537,2.374107200308148,1.299878604075033
2026-01-03,89944.04769803285,88477.43077970743,89471.6125175029,1466.6169183254242,472.43518052995205,1.6305880776560828,0.5252545250309928
2026-01-04,90590.94272501468,88381.17848410904,90157.20161114335,2209.7642409056425,433.741113871336,2.4392772328391557,0.4787908159736679
2026-01-05,91467.97116705477,89266.87519308626,90939.64585756957,2201.095973968506,528.3253094851971,2.4064117153626166,0.5776068964296553
2026-01-06,93882.39079062342,91354.3530726701,91878.45252886116,2528.0377179533243,2003.9382617622614,2.6927709197258896,2.1345198443352875
2026-01-07,93738.79957335889,94380.79565407037,93897.01154066324,-641.996080711484,-158.21196730434895,0.6848776425913854,0.16877959609514107
2026-01-08,91272.61032044589,93084.7287899524,93486.30776552558,-1812.1184695065022,-2213.6974450796843,1.9853913053920529,2.4253688344265485
2026-01-09,91030.37879076302,91793.85352122485,92473.13895281851,-763.4747304618359,-1442.7601620554924,0.8387032335839371,1.5849216286045944
2026-01-10,90495.67958344221,92652.77283571362,92048.93234727978,-2157.093252271414,-1553.252763837576,2.383642249221909,1.7163833356324902
2026-01-11,90378.7896718949,90404.84129656553,90789.06617931723,-26.051624670624733,-410.276507422328,0.02882493200583987,0.45395220373249995
2026-01-12,90818.26085553765,91162.80837058723,91500.20354114175,-344.54751504957676,-681.9426856040955,0.3793813180343102,0.7508871885235116
2026-01-13,91193.70041170418,92584.39829529524,91369.60009182691,-1390.6978835910559,-175.89968012273312,1.524993368305699,0.19288577975080987
2026-01-14,95333.80751365125,92140.5256688863,92294.41228219568,3193.281844764948,3039.3952314555645,3.3495796801231172,3.188160958556429
2026-01-15,96931.9409465462,97993.0456851244,96121.86477020085,-1061.1047385782003,810.0761763453484,1.0946904892406457,0.835716450568209
2026-01-16,95559.97260664105,97684.13697991967,97124.33433107733,-2124.164373278618,-1564.361724436283,2.2228599646239293,1.6370470624512987
2026-01-17,95527.93923395574,96710.12461948096,96721.6549948126,-1182.1853855252266,-1193.7157608568668,1.2375284079246782,1.2495985681564419
2026-01-18,95097.89135197997,95697.20163203478,95906.05945606231,-599.3102800548077,-808.168104082346,0.6302035424072837,0.8498275751363646
2026-01-19,93665.09881895482,95592.98342738747,95728.18732087016,-1927.8846084326506,-2063.0885019153357,2.0582742480836504,2.202622458022574
2026-01-20,92553.06142751574,95637.61241820156,94437.32375810742,-3084.5509906858206,-1884.2623305916786,3.3327379376872703,2.0358725054895843
2026-01-21,88324.93717620969,93427.91256010234,93359.14001688063,-5102.975383892655,-5034.202840670943,5.777502421215581,5.699639310954308
2026-01-22,89374.73980576992,90965.18241978883,90436.76931556761,-1590.442614018917,-1062.0295097976923,1.7795213921464645,1.1882882256280751
2026-01-23,89461.76194812059,89447.16461001038,89660.44728873372,14.597338110208511,-198.68534061312675,0.01631684620595064,0.2220896797542905
2026-01-24,89505.99878911376,90279.38847176432,90700.22961242199,-773.3896826505661,-1194.2308233082294,0.8640646360170334,1.3342466867745615
2026-01-25,89082.06727374792,90423.85178340673,90167.12241631448,-1341.7845096588135,-1085.0551425665617,1.506234139734913,1.218039921808508
2026-01-26,86570.93882195353,91499.17926922142,88772.8717724055,-4928.24044726789,-2201.93295045197,5.692719189985424,2.5435012954873737
2026-01-27,88245.67023554146,88538.29594370424,87084.2922024548,-292.6257081627846,1161.3780330866575,0.33160347400809687,1.3160736724949318
2026-01-28,89117.06225552857,88835.85571603179,88664.68524568975,281.20653949677944,452.3770098388195,0.31554736251343857,0.5076210979012106
2026-01-29,89159.84755688607,90028.50623409152,89286.23685887158,-868.6586772054434,-126.38930198550224,0.9742711556917129,0.1417558524927523
2026-01-30,84563.40097601413,89591.40550832152,89354.37727999389,-5028.004532307386,-4790.976303979754,5.945840013853686,5.66554354328616
2026-01-31,84120.31264924705,84886.97140213549,85712.36483342647,-766.6587528884411,-1592.0521841794252,0.9113836227465607,1.8925894757640034
2026-02-01,78585.89052058458,84809.77641723752,85038.18905546963,-6223.885896652937,-6452.298534885049,7.9198515858551835,8.210505081945914
2026-02-02,76879.6407967627,79748.59718067646,80271.57871722877,-2868.9563839137554,-3391.9379204660654,3.7317505053100657,4.412010625066416
2026-02-03,78679.77821129262,78926.09512269199,78475.84274546504,-246.31691139936447,203.93546582758427,0.3130625390654844,0.25919679803865303
2026-02-04,75631.6386241287,80356.82740591168,79790.01288415193,-4725.188781782985,-4158.374260023236,6.24763507408064,5.498194056973127
2026-02-05,73004.17922060638,76796.72159507572,76811.89252546131,-3792.54237446934,-3807.7133048549294,5.194966116951898,5.215747023671971
2026-02-06,62812.05905023665,74875.73765289485,75604.32860824167,-12063.678602658205,-12792.269558005028,19.205991309741588,20.365945252286444
2026-02-07,70520.3198138222,65762.88695198744,66347.7667039305,4757.4328618347645,4172.553109891713,6.7461873037369475,5.916809681106805
2026-02-08,69282.65108161866,70739.13941389769,70761.09395088702,-1456.4883322790265,-1478.4428692683578,2.102241051029074,2.1339294126125066
2026-02-09,70284.83969933986,69941.02966007292,70370.07375556677,343.81003926694393,-85.23405622690916,0.4891667118224545,0.1212694751692088
2026-02-10,70131.23110269457,71664.99050864279,71202.18641065508,-1533.7594059482217,-1070.9553079605103,2.186984859430611,1.5270733040352436
2026-02-11,68794.24896509647,72209.72758078277,71054.07083799392,-3415.4786156862974,-2259.821872897446,4.964773461542081,3.2848994020473894
2026-02-12,66979.71906684041,70882.23020116687,69565.56376548558,-3902.511134326458,-2585.8446986451745,5.8264071403943385,3.860638316599549
2026-02-13,66205.98113173693,68431.55720460117,67675.5918505609,-2225.5760728642344,-1469.6107188239694,3.3615936729882065,2.219755215015592
2026-02-14,68851.9886364907,67847.22763300389,67466.90961600542,1004.7610034868121,1385.079020485282,1.459305712710092,2.0116761300794255
2026-02-15,69754.67947987169,69548.30624687373,68688.42704327106,206.3732329979539,1066.2524366006255,0.2958557541039303,1.5285747774216378
2026-02-16,68784.72030974626,69205.76045180559,68966.47589876204,-421.0401420593262,-181.75558901578188,0.6121128939149993,0.2642383194949599
2026-02-17,68840.2592597574,68298.99593267291,68622.18006195575,541.2633270844817,218.07919780164957,0.7862598614600123,0.3167902040850305
2026-02-18,67459.99139080643,68231.1803520739,67670.01981131434,-771.1889612674713,-210.02842050790787,1.1431797504981156,0.311337751721876
2026-02-19,66427.80038529336,67682.82906330079,67591.63959748,-1255.0286780074239,-1163.8392121866345,1.8893124124659082,1.7520363544120905
2026-02-20,66956.8807295084,67015.59784896373,66737.83286311924,-58.717119455337524,219.0478663891554,0.08769392901163099,0.32714765682419156
2026-02-21,67994.79887830168,66764.68634637892,67404.71289851218,1230.1125319227576,590.0859797894955,1.8091273924119335,0.8678398782319248
2026-02-22,67966.3504573375,68544.07493829429,68548.11642264276,-577.7244809567928,-581.7659653052688,0.8500154518660388,0.8559617537069958
2026-02-23,67614.89934954494,68709.00612939596,68710.92298113256,-1094.1067798510194,-1096.0236315876245,1.6181445071667961,1.6209794618218285
2026-02-24,64619.93996048421,66896.98716059029,68581.83838075101,-2277.047200106077,-3961.8984202668,3.5237531967663793,6.131077222741995
2026-02-25,64043.31876671017,65367.95989091397,66303.4245092541,-1324.6411242038012,-2260.1057425439285,2.068351780814257,3.529026580862851
2026-02-26,67984.76101348251,64046.46474475116,66331.19398425966,3938.2962687313484,1653.567029222846,5.792910367001686,2.4322612958732273
2026-02-27,67470.72868702262,68133.63162087351,69719.48257019818,-662.9029338508844,-2248.753883175552,0.9825044826859678,3.3329325574752224
2026-02-28,65866.6603299722,68708.12525554448,69686.12349699884,-2841.464925572276,-3819.463167026639,4.313965382998606,5.798780669753521
2026-03-01,67006.08967905193,66988.98726447373,67865.14361213594,17.102414578199387,-859.0539330840111,0.025523672042521987,1.2820535225958374
2026-03-02,65762.28994778245,67546.15314474404,68341.10814105421,-1783.8631969615817,-2578.818193271756,2.712592883213208,3.92142395789354
2026-03-03,68775.77987912744,67256.05299848765,68107.99555795341,1519.7268806397915,667.7843211740255,2.209683239231445,0.9709585588816994
2026-03-04,68264.82036842853,70562.45250764191,70038.92664372623,-2297.632139213383,-1774.1062752977014,3.365763107282714,2.598858776340089
2026-03-05,72758.04960464388,69939.17426465153,70144.89781660288,2818.8753399923444,2613.1517880409956,3.8743140522728168,3.591563823165221
2026-03-06,70886.7604095459,74408.62868635058,73602.14331470877,-3521.8682768046856,-2715.382905162871,4.968301917674343,3.8305924681489696
2026-03-07,68128.58927653432,70847.29960219264,72783.04769248217,-2718.7103256583214,-4654.4584159478545,3.9905572015047333,6.83187258884135
2026-03-08,67279.50882546305,69036.92239495068,70190.21453284919,-1757.4135694876313,-2910.705707386136,2.612108203772303,4.326288580579725
2026-03-09,65940.80005805641,68075.36810755431,68644.8515892893,-2134.5680494979024,-2704.0515312328935,3.2370975899876244,4.100725997943852
2026-03-10,68452.78011879027,67445.08091813773,67461.18832570761,1007.6992006525397,991.5917930826545,1.472108508819975,1.4485778245410705
2026-03-11,69922.37913164943,70332.32787205726,69918.75320905149,-409.9487404078245,3.6259225979447365,0.5862911781591063,0.00518563962350004
2026-03-12,70197.34931839704,71584.15204219967,71227.99806304723,-1386.8027238026261,-1030.648744650185,1.975577051367634,1.4682160432802507
2026-03-13,70493.60972863137,71274.82484875321,71482.40672261715,-781.2151201218367,-988.7969939857721,1.108207003626517,1.4026760692099538
2026-03-14,70966.24098407179,72437.12180007696,72599.34598681777,-1470.8808160051703,-1633.105002745986,2.0726486222305422,2.3012420837008016
2026-03-15,71218.63914418667,71755.56248482018,72028.18269913345,-536.9233406335115,-809.5435549467802,0.7539084530195473,1.136701802610701
2026-03-16,72819.880510737,71644.22412708103,71706.09600405097,1175.6563836559653,1113.7845066860318,1.6144717286134789,1.5295060893732293
2026-03-17,74859.50147971213,74524.42409018874,73793.95140099972,335.07738952338696,1065.5500787124038,0.44760836353445016,1.4233999127033745
2026-03-18,73927.68034291714,76243.68499388992,75943.35676088631,-2316.0046509727836,-2015.6764179691672,3.1327976750114206,2.7265516902726477
2026-03-19,71263.46128342002,73933.07093970924,74730.96998616755,-2669.60965628922,-3467.508702747524,3.746112816036238,4.865759591660847
2026-03-20,69911.34918631315,72033.65523767918,72937.26792578846,-2122.306051366031,-3025.91873947531,3.0357103332537663,4.328222491331504
2026-03-21,70507.53104727417,71444.49988209158,72139.73469073027,-936.9688348174095,-1632.2036434561014,1.3288918515515553,2.3149351838199173
